City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,aykhal,66.0,111.5,6.02,97,99,3.11,RU,1695489038
83,ribeira grande,38.5167,-28.7,24.32,83,40,9.26,PT,1695488946
84,remire-montjoly,4.9167,-52.2667,34.02,55,20,4.63,GF,1695488948
85,iqaluit,63.7506,-68.5145,3.3,65,71,0.92,CA,1695488944
86,ngaruawahia,-37.6674,175.1555,13.44,94,100,0.89,NZ,1695489363
87,kangding,30.0513,101.9603,13.78,95,89,0.76,CN,1695489364
88,pisco,-13.7,-76.2167,21.12,77,0,4.63,PE,1695488955
89,akureyri,65.6835,-18.0878,4.42,97,94,1.18,IS,1695489005
90,iskateley,67.6803,53.1512,13.91,91,63,7.17,RU,1695489094
91,hawaiian paradise park,19.5933,-154.9731,22.16,96,20,3.09,US,1695488946
92,tura,25.5198,90.2201,22.96,96,99,1.46,IN,1695488995
93,botou,38.0667,116.5667,18.51,71,68,2.47,CN,1695489365
94,puerto aysen,-45.4,-72.7,7.99,71,69,1.85,CL,1695489059
95,torghay,49.6339,63.4981,15.95,43,18,5.21,KZ,1695489366
96,vorgashor,67.5833,63.95,3.38,94,100,5.91,RU,1695488971
97,geri,35.1,33.4167,29.49,48,0,7.2,CY,1695489366
98,quellon,-43.1167,-73.6167,7.61,64,99,2.66,CL,1695489047
99,greenville,35.6127,-77.3663,18.01,99,100,6.69,US,1695489112
100,dame-marie,18.5667,-74.4167,29.07,71,39,0.85,HT,1695489367
101,dunedin,-45.8742,170.5036,6.0,85,100,2.42,NZ,1695489119
102,cabo san lucas,22.8909,-109.9124,36.61,43,0,3.6,MX,1695488639
103,papatowai,-46.5619,169.4708,4.81,82,95,2.33,NZ,1695488976
104,wanning,18.8003,110.3967,26.77,88,100,2.83,CN,1695489368
105,mogadishu,2.0371,45.3438,25.69,85,54,6.33,SO,1695489368
106,north ward,-19.2454,146.8075,20.95,64,40,3.6,AU,1695489368
107,port lincoln,-34.7333,135.8667,14.49,70,0,4.82,AU,1695488855
108,colonia,50.9333,6.95,17.76,65,20,3.6,DE,1695489369
109,dompu,-8.5356,118.4622,22.51,97,84,0.29,ID,1695489369
110,constantia,44.1833,28.65,22.61,82,7,6.29,RO,1695489009
111,brahmapur,19.3167,84.7833,26.6,91,88,2.76,IN,1695489370
